workerid,num,ts,value
W989899aad2,0,1651055646078,"{""rt"": 3150, ""stimulus"": ""<img src=\""/static/images/fungal-forest.jpg\"" width=600px><h2>Welcome to the Forest of Fungi!</h2>"", ""response"": 0, ""trial_type"": ""html-button-response"", ""trial_index"": 0, ""time_elapsed"": 3157, ""internal_node_id"": ""0.0-0.0""}"
W989899aad2,1,1651055967017,"{""view_history"": [{""page_index"": 0, ""viewing_time"": 13082}, {""page_index"": 1, ""viewing_time"": 25726}, {""page_index"": 2, ""viewing_time"": 39686}, {""page_index"": 3, ""viewing_time"": 41571}, {""page_index"": 4, ""viewing_time"": 17297}, {""page_index"": 5, ""viewing_time"": 10046}, {""page_index"": 6, ""viewing_time"": 28675}, {""page_index"": 7, ""viewing_time"": 41689}, {""page_index"": 8, ""viewing_time"": 29512}, {""page_index"": 9, ""viewing_time"": 33765}, {""page_index"": 10, ""viewing_time"": 39897}], ""rt"": 320947, ""trial_type"": ""instructions"", ""trial_index"": 1, ""time_elapsed"": 324097, ""internal_node_id"": ""0.0-1.0-0.0""}"
W989899aad2,2,1651056011604,"{""rt"": 44584, ""response"": {""tour-guide-job"": ""Help tourists pick good mushrooms"", ""mushroom-properties"": ""They are edible"", ""what-to-say"": ""All of the above""}, ""question_order"": [0, 1, 2], ""trial_type"": ""survey-multi-choice"", ""trial_index"": 2, ""time_elapsed"": 368684, ""internal_node_id"": ""0.0-1.0-1.0-0.0-0.0"", ""quiz_name"": ""ambiguous_tourism_quiz"", ""quiz_attempt"": 0, ""total"": 3, ""correct"": 3}"
W989899aad2,3,1651056014610,"{""rt"": 2989, ""stimulus"": ""<br>3/3 questions correct.<br><br><strong>Great job!</strong><br>You've passed that section of the test.<br><br>"", ""response"": 0, ""trial_type"": ""html-button-response"", ""trial_index"": 3, ""time_elapsed"": 371690, ""internal_node_id"": ""0.0-1.0-1.0-0.0-1.0""}"
W989899aad2,4,1651056036110,"{""rt"": 21497, ""response"": {""patch-question"": 2, ""maximum-mushrooms-per-patch"": 2}, ""question_order"": [0, 1], ""trial_type"": ""survey-likert"", ""trial_index"": 4, ""time_elapsed"": 393190, ""internal_node_id"": ""0.0-1.0-1.0-1.0-0.0"", ""quiz_name"": ""mushroom_patch_quiz"", ""quiz_attempt"": 0, ""total"": 2, ""correct"": 0}"
W989899aad2,5,1651056038824,"{""rt"": 2699, ""stimulus"": ""<br>0/2 questions correct.<br><br>You will need to re-take that section.<br><br>"", ""response"": 0, ""trial_type"": ""html-button-response"", ""trial_index"": 5, ""time_elapsed"": 395904, ""internal_node_id"": ""0.0-1.0-1.0-1.0-1.0""}"
W989899aad2,6,1651056057367,"{""rt"": 18539, ""response"": {""Red"": 2, ""Blue"": 0, ""Green"": 4}, ""question_order"": [0, 2, 1], ""trial_type"": ""survey-likert"", ""trial_index"": 6, ""time_elapsed"": 414447, ""internal_node_id"": ""0.0-1.0-1.0-2.0-0.0"", ""quiz_name"": ""color_quiz"", ""quiz_attempt"": 0, ""total"": 3, ""correct"": 3}"
W989899aad2,7,1651056058895,"{""rt"": 1512, ""stimulus"": ""<br>3/3 questions correct.<br><br><strong>Great job!</strong><br>You've passed that section of the test.<br><br>"", ""response"": 0, ""trial_type"": ""html-button-response"", ""trial_index"": 7, ""time_elapsed"": 415975, ""internal_node_id"": ""0.0-1.0-1.0-2.0-1.0""}"
W989899aad2,8,1651056147390,"{""rt"": 88497, ""response"": {""Spotted"": 3, ""Striped"": 1, ""Solid"": 2}, ""question_order"": [0, 1, 2], ""trial_type"": ""survey-likert"", ""trial_index"": 8, ""time_elapsed"": 504470, ""internal_node_id"": ""0.0-1.0-1.0-3.0-0.0"", ""quiz_name"": ""texture_quiz"", ""quiz_attempt"": 0, ""total"": 3, ""correct"": 3}"
W989899aad2,9,1651056148910,"{""rt"": 1501, ""stimulus"": ""<br>3/3 questions correct.<br><br><strong>Great job!</strong><br>You've passed that section of the test.<br><br>"", ""response"": 0, ""trial_type"": ""html-button-response"", ""trial_index"": 9, ""time_elapsed"": 505990, ""internal_node_id"": ""0.0-1.0-1.0-3.0-1.0""}"
W989899aad2,10,1651056178107,"{""rt"": 29194, ""response"": {""Green-Spotted"": 6, ""Blue-Striped"": 0, ""Red-Solid"": 3}, ""question_order"": [1, 0, 2], ""trial_type"": ""survey-likert"", ""trial_index"": 10, ""time_elapsed"": 535187, ""internal_node_id"": ""0.0-1.0-1.0-4.0-0.0"", ""quiz_name"": ""specific_mushroom_quiz"", ""quiz_attempt"": 0, ""total"": 3, ""correct"": 3}"
W989899aad2,11,1651056179813,"{""rt"": 1689, ""stimulus"": ""<br>3/3 questions correct.<br><br><strong>Great job!</strong><br>You've passed that section of the test.<br><br>"", ""response"": 0, ""trial_type"": ""html-button-response"", ""trial_index"": 11, ""time_elapsed"": 536893, ""internal_node_id"": ""0.0-1.0-1.0-4.0-1.0""}"
W989899aad2,12,1651056184590,"{""rt"": 4773, ""stimulus"": ""<br>\n                        Your final score was <strong>12/14</strong>. <br>\n                        You have <strong>2 attempt(s) remaining.</strong> <br>\n                        <br>\n                        You'll only need to re-take the sections you failed. <br><br>\n                        Click to review the instructions and try again!"", ""response"": 0, ""trial_type"": ""html-button-response"", ""trial_index"": 12, ""time_elapsed"": 541669, ""internal_node_id"": ""0.0-1.0-2.0-0.0""}"
W989899aad2,13,1651056395202,"{""view_history"": [{""page_index"": 0, ""viewing_time"": 2753}, {""page_index"": 1, ""viewing_time"": 4516}, {""page_index"": 2, ""viewing_time"": 14812}, {""page_index"": 3, ""viewing_time"": 12052}, {""page_index"": 4, ""viewing_time"": 2612}, {""page_index"": 5, ""viewing_time"": 1335}, {""page_index"": 6, ""viewing_time"": 32738}, {""page_index"": 7, ""viewing_time"": 104595}, {""page_index"": 8, ""viewing_time"": 15736}, {""page_index"": 9, ""viewing_time"": 17071}, {""page_index"": 10, ""viewing_time"": 2430}], ""rt"": 210651, ""trial_type"": ""instructions"", ""trial_index"": 13, ""time_elapsed"": 752281, ""internal_node_id"": ""0.0-2.0-0.0""}"
W989899aad2,14,1651056405722,"{""rt"": 10517, ""response"": {""patch-question"": 3, ""maximum-mushrooms-per-patch"": 0}, ""question_order"": [0, 1], ""trial_type"": ""survey-likert"", ""trial_index"": 14, ""time_elapsed"": 762802, ""internal_node_id"": ""0.0-2.0-1.0-1.0-0.0"", ""quiz_name"": ""mushroom_patch_quiz"", ""quiz_attempt"": 1, ""total"": 2, ""correct"": 2}"
